time,flyMode,height,verticalSpeed,flySpeed,eastSpeed,northSpeed,flyTime,flying,downVisualState,droneHover,eMOpen,onGround,pressureState,batteryPercentage,batteryLow,batteryLower,batteryState,powerState,droneBatteryLeft,droneFlyTimeLeft,cameraState,electricalMachineryState,factoryMode,frontIn,frontLSC,frontOut,gravityState,imuCalibrationState,imuState,lightStrength,outageRecording,smartVideoExitMode,temperatureHeight,throwFlyTimer,wifiDisturb,wifiStrength,windState,velX,velY,velZ,posX,posY,posZ,posUncertainty,velN,velE,velD,quatX,quatY,quatZ,quatW,
00:22:11,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3498,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:22:20,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3500,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:22:30,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3500,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:22:40,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3500,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:22:50,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3500,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:22:60,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3500,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:22:71,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3500,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:22:81,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3500,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:22:91,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3500,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:23:01,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3500,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:23:11,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3500,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:23:23,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3475,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:23:32,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3475,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:23:42,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3475,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:23:53,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3475,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:23:63,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3475,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:23:73,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3475,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,-0.0008880215,-0.001826264,-0.0001840412,-0.005762202,-0.005076581,0.0001725075,0.9999706,
00:23:78,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3475,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0.01604622,0.01194825,-0.004975751,0.01,-0.0004350789,-0.001637683,-0.0003851417,-0.005784126,-0.005074788,0.0001884995,0.9999704,
