time,flyMode,height,verticalSpeed,flySpeed,eastSpeed,northSpeed,flyTime,flying,downVisualState,droneHover,eMOpen,onGround,pressureState,batteryPercentage,batteryLow,batteryLower,batteryState,powerState,droneBatteryLeft,droneFlyTimeLeft,cameraState,electricalMachineryState,factoryMode,frontIn,frontLSC,frontOut,gravityState,imuCalibrationState,imuState,lightStrength,outageRecording,smartVideoExitMode,temperatureHeight,throwFlyTimer,wifiDisturb,wifiStrength,windState,velX,velY,velZ,posX,posY,posZ,posUncertainty,velN,velE,velD,quatX,quatY,quatZ,quatW,
00:00:42,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01637826,0.0115604,-0.004807248,0.01,-0.0005537855,-1.545418E-05,-0.0002718736,0.0006397924,-0.005486918,-0.01376927,0.99989,
00:00:52,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01637826,0.0115604,-0.004807248,0.01,-0.0002585218,5.964787E-05,-0.000594134,0.0006316543,-0.005537987,-0.01375354,0.9998899,
00:00:61,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01637886,0.01155967,-0.004806973,0.01,-0.0005397281,0.0004547297,-0.0007249343,0.0005960964,-0.005527116,-0.01377841,0.9998896,
00:00:72,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01637886,0.01155967,-0.004806973,0.01,-0.0003069844,0.00022703,-0.000897616,0.0005814275,-0.005567479,-0.01377755,0.9998894,
00:00:82,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01637901,0.01155945,-0.004807006,0.01,-0.000141836,7.791766E-05,-0.0008752416,0.0005328011,-0.005572134,-0.01376602,0.9998896,
00:00:92,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01637901,0.01155945,-0.004807006,0.01,-0.0008995434,-3.291769E-05,-0.0009092802,0.000542557,-0.005533171,-0.01374535,0.9998901,
00:00:99,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01637825,0.01156011,-0.004807984,0.01,-0.0005646966,-0.0001922618,-0.001085267,0.0005636025,-0.005519622,-0.01375525,0.99989,
00:01:07,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637825,0.01156011,-0.004807984,0.01,-0.0007006616,0.0001505862,-0.0006052247,0.0005704291,-0.00549092,-0.01375229,0.9998903,
00:01:18,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637825,0.01156009,-0.004808041,0.01,-0.0007306482,-0.0001362558,-0.001051325,0.0005958013,-0.005494447,-0.01376558,0.99989,
00:01:28,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637825,0.01156009,-0.004808041,0.01,-0.0004418362,0.0002506517,-0.0009698292,0.000607949,-0.005503293,-0.0137475,0.9998902,
00:01:38,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637699,0.01156197,-0.004807818,0.01,0.0001025756,0.0002996037,-0.001768302,0.0006073468,-0.005493121,-0.01371153,0.9998907,
00:01:48,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637699,0.01156197,-0.004807818,0.01,-0.0007578534,0.0006081008,-0.001053338,0.0006224679,-0.005489516,-0.01371404,0.9998907,
00:01:58,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637756,0.01156192,-0.004805982,0.01,-0.0006881132,-2.103854E-05,-0.0004558532,0.0006307688,-0.005532672,-0.0137199,0.9998904,
00:01:69,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637756,0.01156192,-0.004805982,0.01,0.000334614,0.0001086063,-0.0001652733,0.0006264045,-0.005526166,-0.01371216,0.9998906,
00:01:79,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637636,0.0115635,-0.004806256,0.01,-0.0005517935,-0.0004596063,-0.0001364228,0.0006287587,-0.005525866,-0.01367095,0.9998911,
00:01:89,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637636,0.0115635,-0.004806256,0.01,-0.000572476,0.0001859838,-0.0006573871,0.0006242621,-0.005541376,-0.01365999,0.9998912,
00:01:99,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637613,0.01156384,-0.004806259,0.01,0.0003243653,0.0004688716,-0.0004262847,0.0006194066,-0.005532598,-0.01365789,0.9998912,
00:02:09,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637613,0.01156384,-0.004806259,0.01,-0.0004927233,0.0001262612,0.0004179003,0.0006183754,-0.005556257,-0.01363081,0.9998915,
00:02:20,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637604,0.011565,-0.004803766,0.01,-0.0003947487,0.0002135204,0.001474925,0.0006540297,-0.005584381,-0.01363247,0.9998913,
00:02:31,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637604,0.011565,-0.004803766,0.01,3.448712E-05,0.0001466118,0.0008725902,0.0006617434,-0.0055873,-0.0136574,0.9998909,
00:02:40,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637675,0.01156423,-0.004803202,0.01,-0.0006736776,0.0001292991,0.0010697,0.000665294,-0.005593492,-0.0136593,0.9998909,
00:02:50,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637675,0.01156423,-0.004803202,0.01,-0.0002806909,0.0001771629,0.0002364916,0.0006587916,-0.00557753,-0.01365449,0.999891,
00:02:61,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637623,0.01156408,-0.004805323,0.01,8.360119E-06,0.0004838923,-0.0001683776,0.0006264282,-0.005556376,-0.0136526,0.9998912,
00:02:71,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637623,0.01156408,-0.004805323,0.01,-0.0007859158,-0.0004015768,-0.0004131245,0.0006154328,-0.005542641,-0.01364962,0.9998913,
00:02:81,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637651,0.01156385,-0.004804927,0.01,-0.000187292,0.0003547236,-0.001367067,0.0006308567,-0.00556532,-0.01366088,0.999891,
00:02:93,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637651,0.01156385,-0.004804927,0.01,-8.333102E-05,0.0004462899,-0.001187903,0.00063433,-0.005562454,-0.01367525,0.9998908,
00:03:01,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637674,0.01156396,-0.004803865,0.01,-0.001105879,-0.000510786,-0.001449276,0.0006559212,-0.00557984,-0.01366497,0.9998909,
00:03:12,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637674,0.01156396,-0.004803865,0.01,4.760035E-05,2.377307E-05,-0.001544193,0.0006812761,-0.005545585,-0.01367178,0.9998909,
00:03:22,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637731,0.01156269,-0.004804979,0.01,-0.0004666582,-3.571068E-05,-0.001211482,0.0006512568,-0.005548762,-0.01370239,0.9998906,
00:03:32,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637731,0.01156269,-0.004804979,0.01,-0.0009687188,-0.0003627286,-0.001619988,0.0006465971,-0.005560475,-0.01370248,0.9998905,
00:03:37,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637737,0.01156223,-0.004805911,0.01,2.992398E-05,0.0006161579,-0.001547986,0.0006161155,-0.005545548,-0.01370614,0.9998905,
00:03:47,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637737,0.01156223,-0.004805911,0.01,-0.0006284056,9.262294E-09,-0.00113308,0.0006146904,-0.005517416,-0.01369563,0.9998908,
00:03:58,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637717,0.01156205,-0.004807007,0.01,-0.00121677,-0.0002364889,-0.001507966,0.0006332339,-0.005499304,-0.01371676,0.9998906,
00:03:68,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637717,0.01156205,-0.004807007,0.01,0.0006568009,0.0008180452,-0.001825236,0.0006161799,-0.005515839,-0.01372734,0.9998904,
00:03:78,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637695,0.01156167,-0.004808683,0.01,-0.0005928602,-6.97787E-05,-0.0007200532,0.000577915,-0.005487842,-0.01371208,0.9998908,
00:03:88,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637695,0.01156167,-0.004808683,0.01,-0.001030988,-0.000273144,-0.001529176,0.0005984234,-0.00552153,-0.01371681,0.9998905,
00:03:99,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637693,0.01156144,-0.004809281,0.01,0.0003144603,0.0005803605,-0.00076434,0.0005521831,-0.005488115,-0.0137113,0.9998908,
00:04:09,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637693,0.01156144,-0.004809281,0.01,-0.00141013,-0.0001807574,-0.0004091387,0.000562311,-0.005503843,-0.01371144,0.9998907,
00:04:21,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637666,0.01156263,-0.004807347,0.01,-0.0002388269,0.0005756303,-0.00144887,0.0005707399,-0.005534346,-0.01368009,0.999891,
00:04:29,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637666,0.01156263,-0.004807347,0.01,9.804204E-05,0.0003995572,-0.001888792,0.0005470763,-0.005498917,-0.01367049,0.9998913,
00:04:40,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637619,0.01156279,-0.004808589,0.01,-0.001771168,-0.0006247902,-0.0007213146,0.0005687902,-0.005497477,-0.01367502,0.9998913,
00:04:52,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637619,0.01156279,-0.004808589,0.01,0.0003457651,0.0007432706,-0.0009818457,0.0005616405,-0.005519369,-0.01368145,0.999891,
00:04:60,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637617,0.01156274,-0.004808775,0.01,-0.000587614,0.0001753142,9.865501E-05,0.0005337671,-0.00551725,-0.01366591,0.9998913,
00:04:70,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637617,0.01156274,-0.004808775,0.01,-0.0009542087,-0.0004472814,0.0001523805,0.0005680164,-0.005556958,-0.01367546,0.9998909,
00:04:83,6,0,0,0,0,0,4856,0,0,0,0,0,0,12,1,0,0,0,3649,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90,0,0,0,0,0.01637596,0.01156431,-0.0048057,0.01,0.0001645003,0.000626652,-0.0009131437,0.0006001522,-0.005563878,-0.01363769,0.9998914,
